epoch,train_loss,val_loss,val_rmse,val_mae,lr
1,1.3942992558962182,1.0736408323049544,1.0366611,0.8313072,0.001
2,1.1132685757136043,0.828096941113472,0.91071254,0.6975009,0.001
3,0.8075280993045131,0.7494205757975578,0.8664477,0.66383094,0.001
4,0.708998311924029,0.7356594532728196,0.8584334,0.65606123,0.001
5,0.6659266993969302,0.7357811316847801,0.85826206,0.65430653,0.001
6,0.6404216994967642,0.7395671889185905,0.86055326,0.65492994,0.001
7,0.617789114766483,0.7448394790291786,0.86359376,0.6569188,0.001
8,0.603207883201068,0.7499541535973548,0.866451,0.6594422,0.0005
9,0.5730669390928896,0.7595098987221718,0.87195903,0.66225314,0.0005
10,0.5635487978594212,0.7695157334208489,0.87765515,0.6650887,0.0005
